detector,condition,auc_vs_human,n_ai,n_human
word_ai_prob,baseline,0.6266666666666667,15,15
word_ai_prob,one_shot,0.52,15,15
word_ai_prob,iterative_final,0.56,15,15
word_ai_prob,iter_round_1,0.5333333333333333,15,15
word_ai_prob,iter_round_2,0.5333333333333333,15,15
word_ai_prob,iter_round_3,0.6044444444444445,15,15
word_ai_prob,iter_round_4,0.56,15,15
stylometric_ai_prob,baseline,0.7111111111111111,15,15
stylometric_ai_prob,one_shot,0.6622222222222223,15,15
stylometric_ai_prob,iterative_final,0.6977777777777778,15,15
stylometric_ai_prob,iter_round_1,0.6355555555555555,15,15
stylometric_ai_prob,iter_round_2,0.7066666666666667,15,15
stylometric_ai_prob,iter_round_3,0.7155555555555555,15,15
stylometric_ai_prob,iter_round_4,0.6977777777777778,15,15
